# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-8-14-181;2;2012-03-07 21:45:10 UTC;-1;0.16;0.00;8.84;6.38;0.00;84.62
ip-10-8-14-181;2;2012-03-07 21:45:10 UTC;0;0.00;0.00;0.00;19.70;0.00;80.30
ip-10-8-14-181;2;2012-03-07 21:45:10 UTC;1;0.50;0.00;0.50;0.00;0.00;99.00
ip-10-8-14-181;2;2012-03-07 21:45:10 UTC;2;2.67;0.00;40.00;0.00;0.00;57.33
ip-10-8-14-181;2;2012-03-07 21:45:10 UTC;3;0.00;0.00;17.02;0.71;0.00;82.27
ip-10-8-14-181;2;2012-03-07 21:45:11 UTC;-1;0.00;0.00;0.14;5.41;0.00;94.45
ip-10-8-14-181;2;2012-03-07 21:45:11 UTC;0;0.00;0.00;0.00;19.60;0.00;80.40
ip-10-8-14-181;2;2012-03-07 21:45:11 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:11 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:11 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:12 UTC;-1;0.13;0.00;0.00;4.76;0.00;95.11
ip-10-8-14-181;2;2012-03-07 21:45:12 UTC;0;0.00;0.00;0.00;19.19;0.00;80.81
ip-10-8-14-181;2;2012-03-07 21:45:12 UTC;1;0.00;0.00;0.50;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-07 21:45:12 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:12 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:13 UTC;-1;0.00;0.00;0.13;5.61;0.00;94.25
ip-10-8-14-181;2;2012-03-07 21:45:13 UTC;0;0.00;0.00;0.00;21.32;0.00;78.68
ip-10-8-14-181;2;2012-03-07 21:45:13 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:13 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:13 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:14 UTC;-1;0.00;0.00;0.00;5.08;0.00;94.92
ip-10-8-14-181;2;2012-03-07 21:45:14 UTC;0;0.00;0.00;0.00;21.72;0.00;78.28
ip-10-8-14-181;2;2012-03-07 21:45:14 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:14 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:14 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
