# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-8-14-181;2;2012-03-07 21:44:59 UTC;-1;0.16;0.00;1.10;7.09;0.00;91.65
ip-10-8-14-181;2;2012-03-07 21:44:59 UTC;0;0.53;0.00;3.68;20.53;0.00;75.26
ip-10-8-14-181;2;2012-03-07 21:44:59 UTC;1;0.00;0.00;0.00;1.82;0.00;98.18
ip-10-8-14-181;2;2012-03-07 21:44:59 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:44:59 UTC;3;0.00;0.00;0.50;2.00;0.00;97.50
ip-10-8-14-181;2;2012-03-07 21:45:00 UTC;-1;0.00;0.00;0.00;9.05;0.00;90.95
ip-10-8-14-181;2;2012-03-07 21:45:00 UTC;0;0.00;0.00;0.00;27.27;0.00;72.73
ip-10-8-14-181;2;2012-03-07 21:45:00 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:00 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-07 21:45:00 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:01 UTC;-1;0.10;0.00;0.00;6.31;0.00;93.59
ip-10-8-14-181;2;2012-03-07 21:45:01 UTC;0;0.00;0.00;0.00;31.82;0.00;68.18
ip-10-8-14-181;2;2012-03-07 21:45:01 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:01 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:01 UTC;3;0.00;0.00;0.50;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-07 21:45:02 UTC;-1;0.00;0.00;0.17;9.87;0.00;89.97
ip-10-8-14-181;2;2012-03-07 21:45:02 UTC;0;0.00;0.00;0.00;29.80;0.00;70.20
ip-10-8-14-181;2;2012-03-07 21:45:02 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:02 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-07 21:45:02 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:03 UTC;-1;0.00;0.00;0.00;6.06;0.10;93.84
ip-10-8-14-181;2;2012-03-07 21:45:03 UTC;0;0.00;0.00;0.00;31.31;0.00;68.69
ip-10-8-14-181;2;2012-03-07 21:45:03 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:03 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-07 21:45:03 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
