# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 00:42:54 UTC;xvdap1;1.58;0.00;50.53;32.00;0.03;17.67;17.67;2.79
ip-10-8-14-181;2;2012-03-08 00:42:54 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:54 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:54 UTC;xvdd;44.74;370.53;1061.05;32.00;0.16;3.65;2.48;11.11
ip-10-8-14-181;2;2012-03-08 00:42:54 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:55 UTC;xvdap1;1.53;0.00;44.90;29.33;0.03;20.67;20.67;3.16
ip-10-8-14-181;2;2012-03-08 00:42:55 UTC;xvdb;1.02;0.00;12.24;12.00;0.01;14.00;14.00;1.43
ip-10-8-14-181;2;2012-03-08 00:42:55 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:55 UTC;xvdd;51.02;408.16;1224.49;32.00;0.15;2.99;2.36;12.04
ip-10-8-14-181;2;2012-03-08 00:42:55 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:56 UTC;xvdap1;1.52;0.00;32.32;21.33;0.03;18.00;18.00;2.73
ip-10-8-14-181;2;2012-03-08 00:42:56 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:56 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:56 UTC;xvdd;50.51;404.04;1212.12;32.00;0.15;2.88;2.37;11.97
ip-10-8-14-181;2;2012-03-08 00:42:56 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:57 UTC;xvdap1;1.52;0.00;32.32;21.33;0.04;23.67;23.67;3.59
ip-10-8-14-181;2;2012-03-08 00:42:57 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:57 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:57 UTC;xvdd;49.49;387.88;1195.96;32.00;0.13;2.56;2.21;10.96
ip-10-8-14-181;2;2012-03-08 00:42:57 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:58 UTC;xvdap1;1.52;0.00;32.49;21.33;0.04;29.33;29.33;4.47
ip-10-8-14-181;2;2012-03-08 00:42:58 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:58 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:58 UTC;xvdd;51.78;422.34;1234.52;32.00;0.16;3.32;2.40;12.44
ip-10-8-14-181;2;2012-03-08 00:42:58 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:59 UTC;xvdap1;1.52;0.00;32.32;21.33;0.03;21.00;21.00;3.18
ip-10-8-14-181;2;2012-03-08 00:42:59 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:59 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:42:59 UTC;xvdd;50.51;387.88;1208.08;31.60;0.16;2.98;2.42;12.22
ip-10-8-14-181;2;2012-03-08 00:42:59 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 00:43:00 UTC;xvdap1;2.03;0.00;28.43;14.00;0.03;16.00;15.75;3.20
ip-10-8-14-181;2;2012-03-08 00:43:00 UTC;xvdb;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
