# hostname;interval;timestamp;CPU;%user;%nice;%system;%iowait;%steal;%idle
ip-10-8-14-181;2;2012-03-08 03:35:45 UTC;-1;0.39;0.00;10.12;6.42;0.00;83.07
ip-10-8-14-181;2;2012-03-08 03:35:45 UTC;0;0.60;0.00;17.37;19.76;0.00;62.28
ip-10-8-14-181;2;2012-03-08 03:35:45 UTC;1;0.00;0.00;15.97;0.00;0.00;84.03
ip-10-8-14-181;2;2012-03-08 03:35:45 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:45 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:46 UTC;-1;0.00;0.00;0.11;5.44;0.00;94.45
ip-10-8-14-181;2;2012-03-08 03:35:46 UTC;0;0.00;0.00;0.00;24.75;0.00;75.25
ip-10-8-14-181;2;2012-03-08 03:35:46 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:46 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:46 UTC;3;0.00;0.00;0.50;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-08 03:35:47 UTC;-1;0.00;0.00;0.00;8.88;0.00;91.12
ip-10-8-14-181;2;2012-03-08 03:35:47 UTC;0;0.00;0.00;0.00;26.77;0.00;73.23
ip-10-8-14-181;2;2012-03-08 03:35:47 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:47 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:35:47 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:48 UTC;-1;0.00;0.00;0.10;4.41;0.00;95.49
ip-10-8-14-181;2;2012-03-08 03:35:48 UTC;0;0.00;0.00;0.00;22.61;0.00;77.39
ip-10-8-14-181;2;2012-03-08 03:35:48 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:48 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:48 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:49 UTC;-1;0.00;0.00;0.00;6.41;0.00;93.59
ip-10-8-14-181;2;2012-03-08 03:35:49 UTC;0;0.00;0.00;0.00;24.24;0.00;75.76
ip-10-8-14-181;2;2012-03-08 03:35:49 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:49 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:49 UTC;3;0.00;0.00;0.50;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-08 03:35:50 UTC;-1;0.00;0.00;0.12;7.10;0.00;92.78
ip-10-8-14-181;2;2012-03-08 03:35:50 UTC;0;0.00;0.00;0.00;29.95;0.00;70.05
ip-10-8-14-181;2;2012-03-08 03:35:50 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:50 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:50 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:51 UTC;-1;0.00;0.00;0.00;8.38;0.00;91.62
ip-10-8-14-181;2;2012-03-08 03:35:51 UTC;0;0.00;0.00;0.00;25.76;0.00;74.24
ip-10-8-14-181;2;2012-03-08 03:35:51 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:51 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:35:51 UTC;3;0.00;0.00;0.50;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-08 03:35:52 UTC;-1;0.00;0.00;0.11;5.39;0.00;94.51
ip-10-8-14-181;2;2012-03-08 03:35:52 UTC;0;0.00;0.00;0.00;25.76;0.00;74.24
ip-10-8-14-181;2;2012-03-08 03:35:52 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:52 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:52 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:53 UTC;-1;0.00;0.00;0.00;8.01;0.00;91.99
ip-10-8-14-181;2;2012-03-08 03:35:53 UTC;0;0.00;0.00;0.00;23.74;0.00;76.26
ip-10-8-14-181;2;2012-03-08 03:35:53 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:53 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:35:53 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:54 UTC;-1;0.00;0.00;0.00;18.25;0.00;81.75
ip-10-8-14-181;2;2012-03-08 03:35:54 UTC;0;0.00;0.00;0.00;25.63;0.00;74.37
ip-10-8-14-181;2;2012-03-08 03:35:54 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:54 UTC;2;0.23;0.00;0.23;31.72;0.00;67.82
ip-10-8-14-181;2;2012-03-08 03:35:54 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:55 UTC;-1;0.00;0.00;0.17;11.07;0.00;88.76
ip-10-8-14-181;2;2012-03-08 03:35:55 UTC;0;0.00;0.00;0.51;33.16;0.00;66.33
ip-10-8-14-181;2;2012-03-08 03:35:55 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:55 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:35:55 UTC;3;0.00;0.00;0.50;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-08 03:35:56 UTC;-1;0.00;0.00;0.00;4.64;0.00;95.36
ip-10-8-14-181;2;2012-03-08 03:35:56 UTC;0;0.00;0.00;0.00;24.12;0.00;75.88
ip-10-8-14-181;2;2012-03-08 03:35:56 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:56 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:56 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:57 UTC;-1;0.00;0.00;0.00;9.03;0.00;90.97
ip-10-8-14-181;2;2012-03-08 03:35:57 UTC;0;0.00;0.00;0.00;27.14;0.00;72.86
ip-10-8-14-181;2;2012-03-08 03:35:57 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:57 UTC;2;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 03:35:57 UTC;3;0.50;0.00;0.00;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-08 03:35:58 UTC;-1;0.10;0.00;0.10;5.10;0.00;94.70
ip-10-8-14-181;2;2012-03-08 03:35:58 UTC;0;0.00;0.00;0.00;25.13;0.50;74.37
ip-10-8-14-181;2;2012-03-08 03:35:58 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:58 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:58 UTC;3;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:59 UTC;-1;0.00;0.00;0.00;6.03;0.00;93.97
ip-10-8-14-181;2;2012-03-08 03:35:59 UTC;0;0.00;0.00;0.00;23.74;0.00;76.26
ip-10-8-14-181;2;2012-03-08 03:35:59 UTC;1;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:59 UTC;2;0.00;0.00;0.00;0.00;0.00;100.00
ip-10-8-14-181;2;2012-03-08 03:35:59 UTC;3;0.00;0.00;0.50;0.00;0.00;99.50
ip-10-8-14-181;2;2012-03-08 03:36:00 UTC;-1;0.00;0.00;0.00;5.90;0.00;94.10
