# hostname;interval;timestamp;DEV;tps;rd_sec/s;wr_sec/s;avgrq-sz;avgqu-sz;await;svctm;%util
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;xvdap1;1.59;0.00;59.26;37.33;0.03;18.00;18.00;2.86
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;xvdb;1373.54;87906.88;0.00;64.00;1.57;1.14;0.32;43.49
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:57 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;xvdap1;1.60;0.00;51.34;32.00;0.04;26.33;26.33;4.22
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;xvdb;1500.53;96034.22;0.00;64.00;1.94;1.29;0.36;53.42
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:58 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;xvdap1;1.60;0.00;34.22;21.33;0.04;26.33;26.33;4.22
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;xvdb;1583.96;101373.26;0.00;64.00;1.92;1.21;0.34;53.42
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:12:59 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;26.67;26.67;4.30
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;xvdb;1711.83;109556.99;0.00;64.00;1.92;1.12;0.31;53.71
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:00 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:01 UTC;xvdap1;1.61;0.00;34.41;21.33;0.04;23.67;23.67;3.82
ip-10-8-14-181;2;2012-03-08 22:13:01 UTC;xvdb;1763.98;112907.53;0.00;64.01;1.91;1.08;0.30;53.76
ip-10-8-14-181;2;2012-03-08 22:13:01 UTC;xvdc;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:01 UTC;xvdd;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
ip-10-8-14-181;2;2012-03-08 22:13:01 UTC;xvde;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
